Guest_ID,Visit_Year,Num_Adults,Num_Kids,Ticket_Source,Ticket_Type,Stay_Length,Transport,Digital_Assets,Revisit_Concern,Top_One,Top_Two,Giftshop_Concern,F&B_Concern,Hotel_Concern,Themed_Concern,OSS_ROE,Cast_Concern,Singlepath_Concern,Rides_Concern,Tempcheck_Concern,Digitalline_Concern,EE_ROE,Potluck_ROE,Parade_ROE,Newhotel_ROE,Gender,Age,Country
41,2019,1,1,At-the-gate same-day tickets,Annual pass two parks,4 days of more.,Private vehicle,"Disneyland mobile app, Website",3,Slow Rides, Small Kids Rides,5,2,8,2,4,10,10,1,10,10,10,6,10,6,Male,35-40,United Kingdom
42,2019,2,0,Travel agent,Multiday stay Disney Package deal,4 days of more.,"Disneyland Train from Gare de Lyon, Paris","Disneyland mobile app, Website",8,Thrill Rides, Dark Rides,8,8,9,7,10,8,5,10,10,10,10,10,6,10,Female,25-30,United Kingdom
43,2018,0,0,Disney website,MINI ticket 1 day single park valid during green dates on Disney calendar,2-3 days,"Disneyland Train from Gare de Lyon, Paris","Disneyland mobile app, Website",7,Thrill Rides, Water Rides,9,6,9,6,9,3,8,7,9,9,8,9,4,7,Female,18-25,United Kingdom
44,2016,1,0,Company tickets,MAGIC ticket two parks valid during green and blue dates on Disney Calendar,1 days,Public transportation,Disneyland mobile app,7,Thrill Rides, Slow Rides,8,9,8,8,10,10,10,10,10,10,10,7,6,10,Female,25-30,France
45,2019,2,0,At-the-gate same-day tickets,SUPER MAGIC ticket two parks valid anytime,1 days,Private vehicle,Disneyland mobile app,6,Thrill Rides, Water Rides,6,8,9,5,10,6,10,10,10,7,8,8,7,10,Male,18-25,France
46,2020,6,0,Disney website,Annual pass two parks,2-3 days,Private vehicle,Disneyland mobile app,8,Thrill Rides, Dark Rides,4,7,7,8,9,9,9,9,9,9,10,9,7,8,Male,18-25,France
47,2019,1,1,At-the-gate same-day tickets,MAGIC ticket two parks valid during green and blue dates on Disney Calendar,1 days,Private vehicle,"Disneyland mobile app, Website, Other",10,Thrill Rides, Dark Rides,10,9,10,9,8,4,6,4,5,6,7,9,5,7,Female,18-25,United Kingdom
48,2019,1,0,Disney website,Multiday stay Disney Package deal,2-3 days,"Disneyland Train from Gare de Lyon, Paris",Disneyland mobile app,7,Thrill Rides, Dark Rides,8,7,7,7,8,5,7,6,8,8,8,9,7,8,Female,30-35,United States
49,2019,2,0,Disney website,MAGIC ticket two parks valid during green and blue dates on Disney Calendar,1 days,Private vehicle,Disneyland mobile app,6,Thrill Rides, Dark Rides,4,6,7,6,10,4,4,4,7,7,10,10,6,9,Female,18-25,United States
50,2019,3,0,Disney website,Multiday stay Disney Package deal,4 days of more.,Public transportation,Disneyland mobile app,4,Thrill Rides, Entertainment Shows,4,3,4,3,8,10,8,4,8,8,5,8,6,8,Female,18-25,United Kingdom
51,2017,1,0,Disney website,Multiday stay Disney Package deal,4 days of more.,"Disneyland Train from Gare de Lyon, Paris","Disneyland mobile app, Website",1,Thrill Rides, Character Meet and Greet,1,1,1,1,8,10,10,8,8,7,7,8,5,8,Female,30-35,United States
52,2019,3,1,Disney website,MAGIC ticket 1 day single park valid during green and blue dates on Disney Calendar,1 days,"Public transportation, Private vehicle","Disneyland mobile app, Website",8,Thrill Rides, Dark Rides,10,8,10,10,8,3,5,4,1,3,10,8,10,7,Male,18-25,Canada
53,2018,2,0,Disney website,SUPER MAGIC ticket two parks valid anytime,2-3 days,Public transportation,Disneyland mobile app,5,Thrill Rides, Parades,5,1,5,4,10,5,5,5,10,1,10,10,10,10,Female,25-30,United Kingdom
54,2020,1,0,Disney website,Multiday stay Disney Package deal,4 days of more.,Private vehicle,"Disneyland mobile app, Website",7,Thrill Rides, Character Meet and Greet,7,5,10,10,10,6,8,5,8,10,10,10,10,5,Male,30-35,United Kingdom
55,2008,2,2,At-the-gate same-day tickets,MINI ticket 1 day single park valid during green dates on Disney calendar,1 days,"Disneyland Train from Gare de Lyon, Paris",None,5,Thrill Rides, Water Rides,5,6,3,3,6,3,5,5,5,6,5,5,6,5,Female,18-25,Australia
56,2020,3,0,Annual pass,Annual pass two parks,4 days of more.,Private vehicle,Disneyland mobile app,5,Thrill Rides, Entertainment Shows,6,6,6,6,7,8,8,4,6,9,9,6,8,8,Male,18-25,Spain
57,2019,1,0,Disney website,Multiday stay Disney Package deal,4 days of more.,"Disneyland Train from Gare de Lyon, Paris, The Magical Shuttle",Disneyland mobile app,7,Thrill Rides, Dark Rides,8,6,7,5,6,7,10,8,5,3,1,5,3,3,Male,18-25,United Kingdom
